batter_name,age,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,GB,SO,GDP,BU,fly,year
최형우,25.0,126.0,440.0,384.0,68.0,106.0,24.0,0.0,19.0,187.0,71.0,3.0,0.0,48.0,6.0,2.0,76.0,9.0,0.0,2.0,2008
최형우,26.0,113.0,481.0,415.0,70.0,118.0,24.0,0.0,23.0,211.0,83.0,1.0,2.0,53.0,9.0,4.0,60.0,12.0,1.0,3.0,2009
최형우,27.0,121.0,506.0,420.0,71.0,117.0,29.0,1.0,24.0,220.0,97.0,4.0,0.0,71.0,8.0,5.0,91.0,13.0,2.0,5.0,2010
최형우,28.0,133.0,571.0,480.0,80.0,163.0,37.0,3.0,30.0,296.0,118.0,4.0,3.0,76.0,5.0,15.0,88.0,8.0,0.0,10.0,2011
최형우,29.0,125.0,531.0,461.0,51.0,125.0,27.0,1.0,14.0,196.0,77.0,2.0,1.0,55.0,5.0,3.0,76.0,20.0,0.0,10.0,2012
최형우,30.0,128.0,573.0,511.0,80.0,156.0,28.0,0.0,29.0,271.0,98.0,2.0,1.0,47.0,7.0,1.0,91.0,5.0,0.0,8.0,2013
최형우,31.0,113.0,493.0,430.0,92.0,153.0,33.0,0.0,31.0,279.0,100.0,4.0,2.0,50.0,7.0,1.0,62.0,11.0,0.0,6.0,2014
최형우,32.0,144.0,637.0,547.0,94.0,174.0,33.0,1.0,33.0,308.0,123.0,2.0,5.0,73.0,9.0,7.0,101.0,13.0,0.0,8.0,2015
최형우,33.0,138.0,618.0,519.0,99.0,195.0,46.0,2.0,31.0,338.0,144.0,2.0,2.0,83.0,9.0,8.0,83.0,12.0,0.0,7.0,2016
최형우,34.0,142.0,629.0,514.0,98.0,176.0,36.0,3.0,26.0,296.0,120.0,0.0,1.0,96.0,11.0,8.0,82.0,15.0,0.0,8.0,2017
최형우,35.0,143.0,609.0,528.0,92.0,179.0,34.0,1.0,25.0,290.0,103.0,3.0,0.0,66.0,7.0,7.0,87.0,17.0,0.0,8.0,2018
최형우,36.0,136.0,555.0,456.0,65.0,137.0,31.0,1.0,17.0,221.0,86.0,0.0,1.0,85.0,7.0,6.0,77.0,13.0,0.0,7.0,2019
터커,29.0,95.0,399.0,357.0,50.0,111.0,33.0,0.0,9.0,171.0,50.0,0.0,0.0,38.0,3.0,0.0,44.0,12.0,0.0,1.0,2019
